n1	n2	n3	n4	n5	n6	n7	n8	n9	n10
22.000000	60.000000	107.500000	148.000000	195.000000	236.400000	253.000000	342.600000	428.400000	433.000000
27.500000	65.000000	117.000000	135.000000	190.000000	198.800000	266.000000	346.600000	358.800000	503.000000
33.000000	72.000000	87.500000	117.000000	172.000000	206.000000	243.200000	353.600000	373.800000	570.000000
22.000000	48.000000	107.000000	123.000000	182.500000	259.400000	233.500000	355.000000	408.400000	390.000000
22.000000	67.000000	107.600000	105.000000	204.000000	211.800000	267.000000	304.200000	478.000000	428.000000
27.500000	65.000000	92.500000	99.000000	179.000000	207.000000	276.600000	328.000000	420.400000	422.000000
22.000000	60.000000	102.500000	153.000000	205.000000	258.000000	279.600000	402.000000	422.400000	564.000000
46.200000	60.000000	107.000000	140.000000	210.000000	279.000000	247.200000	305.200000	409.400000	490.000000
27.500000	58.600000	97.500000	114.000000	186.000000	208.000000	303.600000	402.000000	371.000000	516.000000
27.500000	57.000000	93.000000	127.400000	210.000000	237.400000	249.000000	283.200000	364.800000	445.000000
22.000000	73.000000	106.000000	128.400000	164.500000	245.400000	352.000000	307.200000	427.500000	504.000000
27.500000	55.000000	97.500000	148.000000	210.000000	245.000000	322.000000	353.600000	473.000000	480.000000
26.400000	53.000000	106.000000	125.000000	216.000000	217.800000	317.000000	382.600000	427.500000	435.000000
27.500000	58.000000	102.500000	153.000000	188.000000	273.000000	292.600000	336.200000	414.400000	550.000000
22.000000	49.000000	92.500000	176.000000	179.000000	248.400000	297.600000	401.000000	404.400000	460.000000
27.500000	67.000000	96.600000	122.000000	205.000000	245.000000	286.600000	344.600000	430.400000	367.000000
16.500000	60.000000	107.000000	159.000000	175.000000	226.400000	301.600000	368.600000	437.500000	495.000000
22.000000	67.000000	112.000000	133.400000	215.000000	208.800000	291.600000	349.600000	444.400000	500.000000
27.500000	60.000000	88.000000	138.400000	210.000000	226.400000	297.500000	299.000000	352.800000	504.000000
27.500000	67.000000	107.000000	127.000000	187.500000	212.000000	273.000000	326.000000	420.400000	497.000000
22.000000	60.000000	79.200000	114.000000	216.000000	203.000000	290.500000	385.000000	402.400000	500.000000
26.400000	72.000000	112.500000	153.000000	190.000000	236.400000	228.500000	397.000000	414.400000	560.000000
33.000000	72.000000	118.000000	127.000000	162.500000	226.400000	292.600000	355.000000	427.500000	430.000000
46.200000	65.000000	117.000000	137.400000	170.000000	230.000000	293.600000	351.600000	369.800000	427.000000
27.500000	60.000000	78.500000	123.000000	208.000000	251.000000	327.000000	353.600000	380.800000	420.000000
27.500000	53.000000	83.000000	134.400000	156.000000	235.000000	227.500000	355.600000	484.000000	412.000000
22.000000	67.000000	78.500000	140.000000	165.000000	231.400000	258.500000	368.600000	367.000000	545.000000
27.500000	65.000000	92.500000	175.000000	170.000000	222.000000	292.600000	362.600000	398.400000	430.000000
22.000000	53.000000	88.000000	127.400000	199.000000	222.400000	297.600000	365.000000	436.400000	488.000000
22.000000	60.000000	97.500000	164.000000	177.500000	198.800000	308.600000	407.000000	414.400000	491.000000
26.400000	60.000000	113.000000	143.400000	187.500000	210.800000	259.000000	350.000000	415.400000	428.000000
33.000000	53.000000	96.600000	148.000000	137.500000	215.800000	295.500000	297.200000	408.400000	499.000000
22.000000	53.000000	112.000000	143.400000	205.000000	209.800000	234.800000	348.600000	478.000000	419.000000
39.600000	59.000000	96.000000	140.000000	215.000000	236.400000	292.600000	347.600000	435.400000	423.000000
17.600000	62.000000	97.500000	130.000000	216.000000	230.000000	297.600000	402.000000	410.400000	480.000000
27.500000	67.000000	102.500000	122.000000	216.000000	245.400000	298.600000	354.600000	404.400000	555.000000
22.000000	50.000000	102.500000	148.000000	220.000000	241.400000	283.600000	313.000000	484.000000	377.000000
22.000000	60.000000	87.000000	140.000000	160.000000	247.400000	291.600000	367.000000	354.800000	493.000000
27.500000	60.000000	78.000000	183.600000	179.000000	241.400000	327.000000	305.200000	365.800000	516.000000
27.500000	48.000000	96.600000	119.000000	142.500000	236.400000	248.500000	360.600000	378.000000	526.000000
27.500000	62.000000	83.000000	135.000000	216.000000	203.800000	304.600000	407.000000	386.000000	495.000000
27.500000	48.000000	107.500000	153.000000	221.000000	234.000000	277.600000	323.000000	419.400000	490.000000
33.000000	73.000000	75.000000	127.000000	185.000000	235.400000	243.200000	276.000000	377.000000	495.000000
17.600000	60.000000	97.500000	174.000000	179.000000	222.000000	267.000000	363.600000	420.400000	475.000000
33.000000	65.000000	97.500000	123.800000	206.000000	249.000000	291.600000	310.200000	331.800000	551.000000
27.500000	67.000000	96.600000	139.000000	177.500000	257.000000	330.000000	375.000000	414.400000	449.000000
26.400000	48.000000	102.500000	140.000000	165.000000	248.000000	282.600000	374.600000	419.400000	375.000000
22.000000	60.000000	91.600000	127.000000	205.000000	222.000000	225.000000	348.600000	434.400000	423.000000
22.000000	67.000000	95.600000	106.200000	197.500000	206.000000	302.600000	402.000000	419.400000	490.000000
46.200000	67.000000	93.000000	138.400000	172.000000	245.000000	234.500000	294.200000	437.400000	411.000000
27.500000	49.000000	88.000000	130.000000	205.000000	212.000000	291.600000	359.600000	350.800000	503.000000
22.000000	49.000000	88.000000	158.000000	187.500000	236.400000	268.000000	305.000000	429.400000	496.000000
33.000000	60.000000	102.500000	141.400000	172.500000	243.400000	297.600000	311.200000	370.800000	485.000000
33.000000	60.000000	79.000000	153.400000	204.000000	245.000000	240.500000	406.000000	353.000000	487.000000
33.000000	65.000000	107.000000	154.000000	185.000000	240.000000	289.600000	309.000000	418.400000	469.000000
27.500000	53.000000	92.000000	111.800000	160.000000	268.000000	268.000000	354.600000	392.000000	472.000000
33.000000	42.400000	83.200000	123.000000	215.000000	264.000000	300.600000	365.600000	447.400000	486.000000
22.000000	60.000000	97.500000	117.000000	179.000000	213.000000	337.000000	333.000000	407.400000	441.000000
22.000000	70.000000	102.500000	147.400000	165.000000	238.400000	305.500000	365.000000	410.400000	485.000000
27.500000	65.000000	95.600000	148.000000	196.500000	273.000000	306.600000	321.200000	357.800000	431.000000
39.600000	60.000000	102.000000	153.000000	196.000000	196.800000	296.600000	417.000000	387.000000	510.000000
27.500000	60.000000	88.000000	135.000000	197.500000	263.000000	268.200000	358.600000	399.400000	476.000000
27.500000	55.000000	83.000000	114.000000	192.500000	194.800000	228.800000	318.000000	397.000000	500.000000
22.000000	60.000000	92.600000	161.000000	151.000000	208.000000	281.600000	362.600000	425.400000	436.000000
22.000000	63.000000	102.500000	137.000000	187.000000	227.400000	258.200000	303.000000	382.000000	401.000000
26.400000	60.000000	107.000000	127.000000	180.000000	263.000000	342.000000	313.000000	463.000000	501.000000
27.500000	60.000000	90.600000	135.000000	185.000000	283.000000	268.600000	352.600000	383.800000	506.000000
27.500000	60.000000	96.600000	122.000000	204.000000	263.000000	282.500000	392.000000	372.800000	456.000000
27.500000	49.000000	85.200000	139.000000	182.000000	235.000000	332.000000	244.000000	472.000000	500.000000
27.500000	53.000000	102.000000	148.400000	185.000000	241.400000	243.500000	343.000000	393.000000	509.000000
27.500000	60.000000	102.500000	135.000000	145.500000	245.400000	333.000000	395.000000	431.400000	430.000000
27.500000	65.000000	106.000000	137.400000	191.000000	239.000000	332.000000	365.600000	478.000000	474.000000
22.000000	53.000000	96.600000	133.400000	175.500000	227.000000	270.200000	385.000000	410.400000	346.000000
26.400000	65.000000	88.000000	159.000000	199.000000	192.800000	292.600000	276.000000	473.000000	480.000000
33.000000	58.000000	97.500000	135.000000	181.000000	245.000000	298.600000	392.000000	390.400000	505.000000
27.500000	55.000000	97.500000	152.000000	216.000000	230.400000	302.600000	370.600000	489.000000	408.000000
33.000000	62.000000	92.500000	143.400000	175.000000	241.400000	294.600000	375.000000	397.000000	495.000000
27.500000	62.000000	107.500000	140.000000	165.000000	268.000000	313.600000	360.000000	414.400000	416.000000
27.500000	60.000000	83.000000	132.000000	184.000000	245.400000	292.600000	359.600000	421.400000	496.000000
22.000000	55.000000	106.000000	128.800000	157.500000	208.000000	308.600000	347.600000	482.000000	473.000000
